question_id,question,expected_answer,year,expected_source,check_points,qa_group
qa_001,"2021년도 학과 개설 초기에 입학한 학번인데, 지금 교육과정과 비교하면 무엇이 가장 다른가요?","2021년 교육과정은 의료인공지능학과 기준으로 전공 90학점(설계교과 20학점 포함), 교양필수 10학점, 중점교양 10학점 구조였습니다. 2025년 교육과정은 인공지능학과 기준으로 전공 70학점(설계교과 14학점 포함), KY Vision 7학점, 교양필수 6학점, 교양선택 25학점 구조로 정리되어 학과명과 이수 체계가 달라졌습니다. 다만 졸업작품 및 보고서 제출·발표·심사 통과는 공통 졸업요건입니다.",공통,2021_cr.pdf;2025_cr.pdf,2021 전공 90학점;2025 전공 70학점;설계교과;졸업작품,department_web
qa_002,2022년 교육과정 로드맵을 보면 전년도에 비해 어떤 실무 역량이 정교해졌나요?,"2022년 교육과정은 2021년에 비해 교양필수가 13학점으로 늘고 ESG 지역사회 문제해결, 나의 꿈과 미래 디자인, 사회진출 성공전략 등이 포함되었습니다. 전공에서는 AI 프로그래밍실습, AI 프로그래밍기초, 데이터베이스 프로그래밍, 메디컬 앱 프로그래밍, 머신러닝과딥러닝, AI융합설계 등 실습·설계 기반 과목 체계가 유지·정리되었습니다. 제공 자료에는 '자료구조 실습'이라는 과목명은 확인되지 않습니다.",2022,2022_cr.pdf,교양필수 13학점;ESG 지역사회 문제해결;AI융합설계;자료구조 실습 없음,department_web
qa_003,2023년도 교육과정에 있던 '보건의료 데이터분석' 과목은 학과명이 바뀐 지금도 수강할 수 있나요?,"제공된 2023 교육과정에는 '보건의료 데이터분석'이라는 정확한 과목명은 확인되지 않습니다. 대신 의료 데이터와 관련된 과목으로 EMR데이터분석, Clinical Data Warehouse 분석, 의료영상데이터분석 등이 개설되어 있습니다. 2025 교육과정에서는 EMR데이터분석과 의료영상신호데이터분석 등이 의료AI 융합트랙 관련 과목으로 이어집니다.",2023,2023_cr.pdf;2025_cr.pdf,보건의료 데이터분석 없음;EMR데이터분석;Clinical Data Warehouse 분석;의료영상데이터분석,department_web
qa_004,2023년도에 명시되었던 '병원 인공지능 실무' 수업은 주로 무엇을 다루며 몇 학년 과정이었나요?,"2023년 교육과정에서 병원인공지능실무-1은 4학년 1학기, 병원인공지능실무-2는 4학년 2학기에 배치된 3학점 전공 과목입니다. 교과목 개요에 따르면 병원에서 사용하는 의료 인공지능 기술 사례를 살펴보고, 병원 현장 적용 시 고려할 점을 배우며 실제 적용 업무를 수행하는 과목입니다.",2023,2023_cr.pdf,병원인공지능실무-1;병원인공지능실무-2;4학년;병원 현장 적용,department_web
qa_005,2024년도 교육과정 개편 때 학과명이 '의료인공지능학과'에서 '인공지능학과'로 전격 변경된 진짜 이유는 무엇인가요?,"2024년부터 의료인공지능학과는 인공지능학과로 명칭이 변경되었습니다. 입학 Q&A 자료에 따르면 의료뿐 아니라 산업 전 분야의 AI 수요에 대응하고 학생들의 진로 탐색 기회를 넓히기 위한 개편이며, 50여 개 기업 요구사항을 반영한 실무형 AI·SW 교육과정으로 정리되었습니다. 다만 대전 메디컬캠퍼스와 의료인공지능 특성화 교육은 계속 활용됩니다.",2024,2024_cr.pdf;ai_department_week11_crawling_with_ocr (1).csv,2024년 명칭 변경;산업 전 분야 AI 수요;실무형 AI·SW 교육과정;의료AI 특성화 유지,department_web
qa_006,2024학번 이후 학생들은 고학년 때 이수해야 하는 프로젝트 수업 명칭이 어떻게 바뀌었나요?,"2024 교육과정의 고학년 프로젝트·설계 과목은 AI 프로젝트 I·II, AI캡스톤디자인 I·II가 중심입니다. 또한 4학년에는 인공지능실무-1, 인공지능실무-2 같은 실무 과목도 배치되어 있습니다. 제공된 최종 RAG 자료 기준으로 'AI종합프로젝트'라는 과목명은 확인되지 않습니다.",2024,2024_cr.pdf,AI 프로젝트 I;AI 프로젝트 II;AI캡스톤디자인 I;AI캡스톤디자인 II;AI종합프로젝트 없음,department_web
qa_007,2025년도 최신 교육과정에서 정의하는 '창의 실무형 AI 전문 인재'가 되려면 구체적으로 어떤 최신 기술을 배우나요?,"2025 교육과정에서 확인되는 최신·핵심 AI 관련 과목은 기계학습, 딥러닝, 고급딥러닝, 딥러닝영상처리, 딥러닝자연어처리, 강화학습, 생성형AI 등입니다. 여기에 데이터사이언스를위한파이썬, 데이터베이스프로그래밍, JAVA프로그래밍, 클라우드컴퓨팅, 앱프로그래밍, 의료영상신호데이터분석, 의료인공지능실무가 함께 배치되어 실무형 AI 역량을 기르도록 구성되어 있습니다.",2025,2025_cr.pdf,기계학습;딥러닝;고급딥러닝;생성형AI;의료영상신호데이터분석,department_web
qa_008,"2025년도에 입학하는 신입생의 경우, 과거 학번에 비해 수학 과목에 대한 부담이 줄었나요?","제공 자료만으로는 2025학번의 수학 부담이 과거보다 줄었다고 단정할 수 없습니다. 다만 2025 교육과정에는 1학년 2학기에 AI를위한기초수학및통계 3학점 과목이 배치되어 있고, 입학 Q&A에서는 인공지능 이론의 개념 이해에는 고등수학이 필수는 아니며 관련 수업에서 수학적 사고를 포함해 교육한다고 안내합니다.",2025,2025_cr.pdf;ai_department_week11_crawling_with_ocr (1).csv,AI를위한기초수학및통계;1학년 2학기;고등수학 필수 아님;수학적 사고 교육,department_web
qa_009,"과거 연도(2021~2023) 교육과정과 최신 연도(2024~2025) 교육과정 중, 졸업을 위한 필수 이수 학점 구조의 큰 틀이 변했나요?","큰 틀에서 졸업 최소 이수학점 130학점과 졸업작품 및 보고서 제출·발표·심사 통과 요건은 2021~2025년에 공통으로 유지됩니다. 다만 내부 학점 구조는 바뀌었습니다. 2021~2024는 전공 90학점과 교양필수·중점교양 체계가 중심이고, 2025는 전공 70학점, KY Vision 7학점, 교양필수 6학점, 교양선택 25학점 구조로 정리됩니다.",공통,2021_cr.pdf;2022_cr.pdf;2023_cr.pdf;2024_cr.pdf;2025_cr.pdf,졸업 최소 130학점;졸업작품;2025 KY Vision;전공 학점 변화,department_web
qa_010,내가 만약 복학하거나 전과를 해서 과거 학번 교육과정과 현재 교육과정이 꼬인다면 어떻게 이수해야 하나요?,"제공된 RAG 자료에는 복학·전과자의 동일대체 과목 지정 방식이나 개별 이수 변경 처리 기준이 구체적으로 제시되어 있지 않습니다. 확인 가능한 것은 연도별 학점 이수 체계와 전공·교양 기준이므로, 실제 복학·전과 상황에서는 본인 학번 적용 교육과정과 학과의 대체 인정 기준을 별도로 확인해야 합니다.",공통,2021_cr.pdf;2022_cr.pdf;2023_cr.pdf;2024_cr.pdf;2025_cr.pdf,동일대체 과목 자료 없음;연도별 학점 이수 체계;개별 확인 필요,department_web
qa_011,인공지능학과와 일반 컴퓨터공학과의 명확한 차이점은 무엇인가요?,"제공 자료에는 일반 컴퓨터공학과와의 전체 비교표는 없습니다. 다만 학과소개 자료 기준으로 인공지능학과는 AI, 데이터 분석, 머신러닝·딥러닝, 인공지능 융합 프로젝트와 실무역량에 초점을 둡니다. 입학 Q&A에서도 의료IT와 의료인공지능학과의 차이를 설명하며 의료인공지능학과는 AI를 기반으로 하는 학과라고 안내합니다.",공통,week11_crawling_final.csv;ai_department_week11_crawling_with_ocr (1).csv,비교표 없음;AI 기반 학과;데이터 분석;머신러닝·딥러닝,department_web
qa_012,수학을 못하면 인공지능학과 전공 수업을 따라가기 어렵나요?,"입학 Q&A에서는 인공지능 이론의 개념을 이해하는 데 고등수학이 필수는 아니며, 관련 수업에서 수학적 사고를 포함해 교육한다고 안내합니다. 교육과정상으로는 AI를 위한 기초수학 및 통계 과목이 있어 필요한 수학·통계 기초를 전공 안에서 다룹니다.",공통,ai_department_week11_crawling_with_ocr (1).csv;2025_cr.pdf,고등수학 필수 아님;수학적 사고;AI를 위한 기초수학 및 통계,department_web
