question_id,qa_group,year,question,no_rag_status,rag_status,no_rag_checkpoint_ratio,rag_checkpoint_ratio,checkpoint_delta,no_rag_source_ratio,rag_source_ratio,source_delta,status_delta,no_rag_missing_terms,rag_missing_terms
qa_001,department_web,공통,"2021년도 학과 개설 초기에 입학한 학번인데, 지금 교육과정과 비교하면 무엇이 가장 다른가요?",fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,2021 전공 90학점; 2025 전공 70학점; 설계교과; 졸업작품,
qa_002,department_web,2022,2022년 교육과정 로드맵을 보면 전년도에 비해 어떤 실무 역량이 정교해졌나요?,fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,교양필수 13학점; ESG 지역사회 문제해결; AI융합설계; 자료구조 실습 없음,
qa_003,department_web,2023,2023년도 교육과정에 있던 '보건의료 데이터분석' 과목은 학과명이 바뀐 지금도 수강할 수 있나요?,fail,pass,0.25,1.0,0.75,0.0,1.0,1.0,2,EMR데이터분석; Clinical Data Warehouse 분석; 의료영상데이터분석,
qa_004,department_web,2023,2023년도에 명시되었던 '병원 인공지능 실무' 수업은 주로 무엇을 다루며 몇 학년 과정이었나요?,fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,병원인공지능실무-1; 병원인공지능실무-2; 4학년; 병원 현장 적용,
qa_005,department_web,2024,2024년도 교육과정 개편 때 학과명이 '의료인공지능학과'에서 '인공지능학과'로 전격 변경된 진짜 이유는 무엇인가요?,fail,pass,0.25,1.0,0.75,0.0,1.0,1.0,2,산업 전 분야 AI 수요; 실무형 AI·SW 교육과정; 의료AI 특성화 유지,
qa_006,department_web,2024,2024학번 이후 학생들은 고학년 때 이수해야 하는 프로젝트 수업 명칭이 어떻게 바뀌었나요?,fail,pass,0.2,1.0,0.8,0.0,1.0,1.0,2,AI 프로젝트 II; AI캡스톤디자인 I; AI캡스톤디자인 II; AI종합프로젝트 없음,
qa_007,department_web,2025,2025년도 최신 교육과정에서 정의하는 '창의 실무형 AI 전문 인재'가 되려면 구체적으로 어떤 최신 기술을 배우나요?,fail,pass,0.2,1.0,0.8,0.0,1.0,1.0,2,기계학습; 고급딥러닝; 생성형AI; 의료영상신호데이터분석,
qa_008,department_web,2025,"2025년도에 입학하는 신입생의 경우, 과거 학번에 비해 수학 과목에 대한 부담이 줄었나요?",fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,AI를위한기초수학및통계; 1학년 2학기; 고등수학 필수 아님; 수학적 사고 교육,
qa_009,department_web,공통,"과거 연도(2021~2023) 교육과정과 최신 연도(2024~2025) 교육과정 중, 졸업을 위한 필수 이수 학점 구조의 큰 틀이 변했나요?",fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,졸업 최소 130학점; 졸업작품; 2025 KY Vision; 전공 학점 변화,
qa_010,department_web,공통,내가 만약 복학하거나 전과를 해서 과거 학번 교육과정과 현재 교육과정이 꼬인다면 어떻게 이수해야 하나요?,fail,pass,0.3333,1.0,0.6667000000000001,0.0,1.0,1.0,2,동일대체 과목 자료 없음; 연도별 학점 이수 체계,
qa_011,department_web,공통,인공지능학과와 일반 컴퓨터공학과의 명확한 차이점은 무엇인가요?,review,pass,0.75,1.0,0.25,0.0,1.0,1.0,1,비교표 없음,
